{'code': '079190', 'comp_nm': 'EMW', 'target_nm': '영업외비용', 'value': 0}
{'code': '079650', 'comp_nm': '서산', 'target_nm': '금융비용', 'value': 0}
{'code': '080000', 'comp_nm': '에스엔유', 'target_nm': '영업외비용', 'value': 0}
{'code': '080160', 'comp_nm': '모두투어', 'target_nm': '영업비용', 'value': 0}
{'code': '080160', 'comp_nm': '모두투어', 'target_nm': '영업외비용', 'value': 0}
{'code': '080530', 'comp_nm': '코디', 'target_nm': '주당손익', 'value': 0}
{'code': '080530', 'comp_nm': '코디', 'target_nm': '영업외비용', 'value': 0}
{'code': '081000', 'comp_nm': '일진다이아', 'target_nm': '법인세비용', 'value': 0}
{'code': '082270', 'comp_nm': '젬백스', 'target_nm': '법인세비용', 'value': 0}
{'code': '082800', 'comp_nm': '비보존 헬스케어', 'target_nm': '법인세비용', 'value': 0}
{'code': '083660', 'comp_nm': 'CSA 코스믹', 'target_nm': '영업외비용', 'value': 0}
{'code': '083660', 'comp_nm': 'CSA 코스믹', 'target_nm': '법인세비용', 'value': 0}
{'code': '083790', 'comp_nm': '크리스탈지노믹스', 'target_nm': '영업외비용', 'value': 0}
{'code': '084180', 'comp_nm': '수성', 'target_nm': '당기순이익', 'value': 0}
{'code': '084180', 'comp_nm': '수성', 'target_nm': '전기 당기순이익', 'value': 0}
{'code': '084370', 'comp_nm': '유진테크', 'target_nm': '금융비용', 'value': 0}
{'code': '084990', 'comp_nm': '헬릭스미스', 'target_nm': '법인세비용', 'value': 0}
{'code': '085310', 'comp_nm': '엔케이', 'target_nm': '법인세비용', 'value': 0}
{'code': '085810', 'comp_nm': '알티캐스트', 'target_nm': '매출액', 'value': 0}
{'code': '085810', 'comp_nm': '알티캐스트', 'target_nm': '전기 매출액', 'value': 0}
{'code': '086250', 'comp_nm': '이노와이즈', 'target_nm': '주당손익', 'value': 0}
{'code': '086980', 'comp_nm': '쇼박스', 'target_nm': '금융비용', 'value': 0}
{'code': '089230', 'comp_nm': 'THE E&M', 'target_nm': '주당손익', 'value': 0}
{'code': '089530', 'comp_nm': '에이티세미콘', 'target_nm': '영업비용', 'value': 0}
{'code': '089530', 'comp_nm': '에이티세미콘', 'target_nm': '법인세비용', 'value': 0}
{'code': '089790', 'comp_nm': '제이티', 'target_nm': '영업외비용', 'value': 0}
{'code': '090080', 'comp_nm': '평화산업', 'target_nm': '주당손익', 'value': 0}
{'code': '090080', 'comp_nm': '평화산업', 'target_nm': '영업외손익', 'value': 0}
{'code': '090080', 'comp_nm': '평화산업', 'target_nm': '영업외비용', 'value': 0}
{'code': '090370', 'comp_nm': '메타랩스', 'target_nm': '영업외비용', 'value': 0}
{'code': '090430', 'comp_nm': '아모레퍼시픽', 'target_nm': '영업외비용', 'value': 0}
{'code': '090710', 'comp_nm': '휴림로봇', 'target_nm': '법인세비용', 'value': 0}
{'code': '091590', 'comp_nm': '남화토건', 'target_nm': '금융비용', 'value': 0}
{'code': '092230', 'comp_nm': 'KPX홀딩스', 'target_nm': '주당손익', 'value': 0}
{'code': '092600', 'comp_nm': '앤씨앤', 'target_nm': '영업외비용', 'value': 0}
{'code': '092600', 'comp_nm': '앤씨앤', 'target_nm': '법인세비용', 'value': 0}
{'code': '093230', 'comp_nm': '이아이디', 'target_nm': '법인세비용', 'value': 0}
