{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 352222461499}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 928163576893}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 287355849995}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 199202041552}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 41894176478}
{'code': '000300', 'comp_nm': '대유플러스', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 473214226600}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 577968798469}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 567466289402}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 473115066063}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 439906012914}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 335946470056}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 484925979400}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 102074027232}
{'code': '000320', 'comp_nm': '노루홀딩스', 'account_id': 'ifrs-full_Assets', 'account_nm': '자산총계', 'target_nm': '자산총계', 'value': 1051083864532}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '자본총계', 'value': 292315107237}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_Equity', 'account_nm': '자본총계', 'target_nm': '전기 자본총계', 'value': 282167454354}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '부채총계', 'value': 301977866527}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_Liabilities', 'account_nm': '부채총계', 'target_nm': '전기 부채총계', 'value': 278473245224}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_CurrentLiabilities', 'account_nm': '유동부채', 'target_nm': '유동부채', 'value': 207904967189}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_CurrentAssets', 'account_nm': '유동자산', 'target_nm': '유동자산', 'value': 305492601886}
{'code': '000390', 'comp_nm': '삼화페인트공업', 'account_id': 'ifrs-full_Inventories', 'account_nm': '재고자산', 'target_nm': '재고자산', 'value': 90212428004}
